id,countryname,exports,imports,independence,militaryexpenditure,netmigration,area,internetusers,labourforce,population,agriproducts,areacomparative,background,capital,climate,economy,governmenttype,memberof,countrycode,nationality,coordinates
230,Tanzania,$ 2 413 000 000,$ 6 259 000 000,19640426,0.2,-1.3,947300,400000,21060000,41048532,coffee sisal tea cotton pyrethrum (insecticide made from chrysanthemums) cashew nuts tobacco cloves corn wheat cassava (tapioca) bananas fruits vegetables; cattle sheep goats,slightly larger than twice the size of California,Shortly after achieving independence from Britain in the early 1960s Tanganyika and Zanzibar merged to form the nation of Tanzania in 1964. One-party rule came to an end in 1995 with the first democratic elections held in the country since the 1970s. Zanzibar's semi-autonomous status and popular opposition have led to two contentious elections since 1995 which the ruling party won despite international observers' claims of voting irregularities.,name: Dar es Salaam geographic coordinates: 6 48 S 39 17 E time difference: UTC+3 (8 hours ahead of Washington DC during Standard Time) note: legislative offices have been transferred to Dodoma which is planned as the new national capital; the National Assembly now meets there on a regular basis,varies from tropical along coast to temperate in highlands,Tanzania is in the bottom ten percent of the world's economies in terms of per capita income. The economy depends heavily on agriculture which accounts for more than 40% of GDP provides 85% of exports and employs 80% of the work force. Topography and climatic conditions however limit cultivated crops to only 4% of the land area. Industry traditionally featured the processing of agricultural products and light consumer goods. The World Bank the IMF and bilateral donors have provided funds to rehabilitate Tanzania's out-of-date economic infrastructure and to alleviate poverty. Long-term growth through 2005 featured a pickup in industrial production and a substantial increase in output of minerals led by gold. Recent banking reforms have helped increase private-sector growth and investment. Continued donor assistance and solid macroeconomic policies supported real GDP growth of 7.1% in 2008.,republic,ACP AfDB AU C EAC EADB FAO G-6 G-77 IAEA IBRD ICAO ICC ICCt ICRM IDA IFAD IFC IFRCS ILO IMF IMO IMSO Interpol IOC IOM IPU ISO ITSO ITU ITUC MIGA NAM OPCW SADC UN UNAMID UNCTAD UNESCO UNHCR UNIDO UNIFIL UNMIS UNOCI UNWTO UPU WCO WFTU WHO WIPO WMO WTO,tz,noun: Tanzanian(s) adjective: Tanzanian,6 00 S 35 00 E
231,Thailand,$ 174 800 000 000,$ 157 300 000 000,,1.8,,513120,13416000,37780000,65905410,rice cassava (tapioca) rubber corn sugarcane coconuts soybeans,slightly more than twice the size of Wyoming,A unified Thai kingdom was established in the mid-14th century. Known as Siam until 1939 Thailand is the only Southeast Asian country never to have been taken over by a European power. A bloodless revolution in 1932 led to a constitutional monarchy. In alliance with Japan during World War II Thailand became a US treaty ally following the conflict. A military coup in September 2006 ousted then Prime Minister THAKSIN Chinnawat. The interim government held elections in December 2007 that saw the former pro-THAKSIN People's Power Party (PPP) emerge at the head of a coalition government. The anti-THAKSIN People's Alliance for Democracy (PAD) in May 2008 began street demonstrations against the new government eventually occupying the prime minister's office in August. Clashes in October 2008 between PAD protesters blocking parliament and police resulted in the death of at least two people. The PAD occupied Bangkok's international airports briefly ending their protests in early December 2008 following a court ruling that dissolved the ruling PPP and two other coalition parties for election violations. The Democrat Party then formed a new coalition government with the support of some of THAKSIN's former political allies and ABHISIT Wetchachiwa became prime minister. Since January 2004 thousands have been killed as separatists in Thailand's southern ethnic Malay-Muslim provinces increased the violence associated with their cause.,name: Bangkok geographic coordinates: 13 45 N 100 31 E time difference: UTC+7 (12 hours ahead of Washington DC during Standard Time),tropical; rainy warm cloudy southwest monsoon (mid-May to September); dry cool northeast monsoon (November to mid-March); southern isthmus always hot and humid,With a well-developed infrastructure a free-enterprise economy and generally pro-investment policies Thailand was one of East Asia's best performers from 2002-04 averaging more than 6% annual real GDP growth. However overall economic growth has fallen sharply - averaging 4.9% from 2005 to 2007 - as persistent political crisis stalled infrastructure mega-projects eroded investor and consumer confidence and damaged the country's international image. Exports were the key economic driver as foreign investment and consumer demand stalled. Export growth from January 2005 to November 2008 averaged 17.5% annually. Business uncertainty escalated however following the September 2006 coup when the military-installed government imposed capital controls and considered far-reaching changes to foreign investment rules and other business legislation. Although controversial capital controls have since been lifted and business rules largely remain unchanged investor sentiment has not recovered. Moreover the 2008 global financial crisis further darkened Thailand's economic horizon. Continued political uncertainty will hamper resumption of infrastructure mega-projects.,constitutional monarchy,ADB APEC APT ARF ASEAN BIMSTEC BIS CP EAS FAO G-77 IAEA IBRD ICAO ICC ICCt (signatory) ICRM IDA IFAD IFC IFRCS IHO ILO IMF IMO IMSO Interpol IOC IOM IPU ISO ITSO ITU ITUC MIGA NAM OAS (observer) OIC (observer) OIF (observer) OPCW OSCE (partner) PCA PIF (partner) UN UNAMID UNCTAD UNESCO UNHCR UNIDO UNITAR UNMIS UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,th,noun: Thai (singular and plural) adjective: Thai,15 00 N 100 00 E
232,Timor-Leste,$ 10 000 000,$ 202 000 000,19751128,,,14874,1200,,1131612,coffee rice corn cassava sweet potatoes soybeans cabbage mangoes bananas vanilla,slightly larger than Connecticut,The Portuguese began to trade with the island of Timor in the early 16th century and colonized it in mid-century. Skirmishing with the Dutch in the region eventually resulted in an 1859 treaty in which Portugal ceded the western portion of the island. Imperial Japan occupied Portuguese Timor from 1942 to 1945 but Portugal resumed colonial authority after the Japanese defeat in World War II. East Timor declared itself independent from Portugal on 28 November 1975 and was invaded and occupied by Indonesian forces nine days later. It was incorporated into Indonesia in July 1976 as the province of Timor Timur (East Timor). An unsuccessful campaign of pacification followed over the next two decades during which an estimated 100 000 to 250 000 individuals lost their lives. On 30 August 1999 in a UN-supervised popular referendum an overwhelming majority of the people of Timor-Leste voted for independence from Indonesia. Between the referendum and the arrival of a multinational peacekeeping force in late September 1999 anti-independence Timorese militias - organized and supported by the Indonesian military - commenced a large-scale scorched-earth campaign of retribution. The militias killed approximately 1 400 Timorese and forcibly pushed 300 000 people into western Timor as refugees. The majority of the country's infrastructure including homes irrigation systems water supply systems and schools and nearly 100% of the country's electrical grid were destroyed. On 20 September 1999 the Australian-led peacekeeping troops of the International Force for East Timor (INTERFET) deployed to the country and brought the violence to an end. On 20 May 2002 Timor-Leste was internationally recognized as an independent state. In late April 2006 internal tensions threatened the new nation's security when a military strike led to violence and a near breakdown of law and order in Dili. At the request of the Government of Timor-Leste an Australian-led International Stabilization Force (ISF) deployed to Timor-Leste in late May. In August the UN Security Council established the UN Integrated Mission in Timor-Leste (UNMIT) which included an authorized police presence of over 1 600 personnel. The ISF and UNMIT restored stability allowing the Government of Timor-Leste to hold presidential and parliamentary elections in April and June 2007 in a largely peaceful atmosphere. In February 2008 a rebel group staged an unsuccessful attack against the president and prime minister. The ringleader was killed in the attack and the majority of the rebels surrendered to the government in April 2008.,name: Dili geographic coordinates: 8 35 S 125 36 E time difference: UTC+9 (14 hours ahead of Washington DC during Standard Time),tropical; hot humid; distinct rainy and dry seasons,In late 1999 about 70% of the economic infrastructure of Timor-Leste was laid waste by Indonesian troops and anti-independence militias. Three hundred thousand people fled westward. Over the next three years a massive international program manned by 5 000 peacekeepers (8 000 at peak) and 1 300 police officers led to substantial reconstruction in both urban and rural areas. By the end of 2005 refugees had returned or had settled in Indonesia. The country continues to face great challenges in rebuilding its infrastructure strengthening the civil administration and generating jobs for young people entering the work force. The development of oil and gas resources in offshore waters has begun to supplement government revenues ahead of schedule and above expectations. The technology-intensive industry however has done little to create jobs for the unemployed because there are no production facilities in Timor. Gas is piped to Australia. In June 2005 the National Parliament unanimously approved the creation of a Petroleum Fund to serve as a repository for all petroleum revenues and preserve the value of Timor-Leste's petroleum wealth for future generations. The Fund held assets of US$3.9 billion as of October 2008. The economy is recovering from the mid-2006 outbreak of violence and civil unrest which disrupted both private and public sector economic activity. The government in 2008 resettled tens of thousands of an estimated 100 000 internally displaced persons. The underlying economic policy challenge the country faces remains how best to use oil-and-gas wealth to lift the non-oil economy onto a higher growth path and to reduce poverty.,republic,ACP ADB ARF CPLP FAO G-77 IBRD ICAO ICCt IDA IFAD IFC IFRCS ILO IMF IMO Interpol IOC IPU MIGA NAM OPCW PIF (observer) UN UNCTAD UNESCO UNIDO Union Latina UNWTO UPU WCO WFTU WHO,tl,noun: Timorese adjective: Timorese,8 50 S 125 55 E
233,Togo,$ 782 000 000,$ 1 549 000 000,19600427,1.6,,56785,320000,2595000,6019877,coffee cocoa cotton yams cassava (tapioca) corn beans rice millet sorghum; livestock; fish,slightly smaller than West Virginia,French Togoland became Togo in 1960. Gen. Gnassingbe EYADEMA installed as military ruler in 1967 ruled Togo with a heavy hand for almost four decades. Despite the facade of multiparty elections instituted in the early 1990s the government was largely dominated by President EYADEMA whose Rally of the Togolese People (RPT) party has maintained power almost continually since 1967 and maintains a majority of seats in today's legislature. Upon EYADEMA's death in February 2005 the military installed the president's son Faure GNASSINGBE and then engineered his formal election two months later. Democratic gains since then allowed Togo to hold its first relatively free and fair legislative elections in October 2007. After years of political unrest and fire from international organizations for human rights abuses Togo is finally being re-welcomed into the international community.,name: Lome geographic coordinates: 6 08 N 1 13 E time difference: UTC 0 (5 hours ahead of Washington DC during Standard Time),tropical; hot humid in south; semiarid in north,This small sub-Saharan economy is heavily dependent on both commercial and subsistence agriculture which provides employment for 65% of the labor force. Some basic foodstuffs must still be imported. Cocoa coffee and cotton generate about 40% of export earnings with cotton being the most important cash crop. Togo is the world's fourth-largest producer of phosphate. The government's decade-long effort supported by the World Bank and the IMF to implement economic reform measures encourage foreign investment and bring revenues in line with expenditures has moved slowly. Progress depends on follow through on privatization increased openness in government financial operations progress toward legislative elections and continued support from foreign donors. Togo is working with donors to write a Poverty Reduction and Growth Facility (PRGF) that could eventually lead to a debt reduction plan. Economic growth remains marginal due to declining cotton production underinvestment in phosphate mining and strained relations with donors.,republic under transition to multiparty democratic rule,ACP AfDB AU ECOWAS Entente FAO FZ G-77 IAEA IBRD ICAO ICC ICRM IDA IDB IFAD IFC IFRCS ILO IMF IMO Interpol IOC IOM IPU ISO (correspondent) ITSO ITU ITUC MIGA NAM OIC OIF OPCW PCA UN UNAMID UNCTAD UNESCO UNIDO UNMIL UNOCI UNWTO UPU WADB (regional) WAEMU WCL WCO WFTU WHO WIPO WMO WTO,tg,noun: Togolese (singular and plural) adjective: Togolese,8 00 N 1 10 E
234,Tokelau,$ 0,$ 969 200,,,,12,,440,1416,coconuts copra breadfruit papayas bananas; pigs poultry goats; fish,about 17 times the size of The Mall in Washington DC,Originally settled by Polynesian emigrants from surrounding island groups the Tokelau Islands were made a British protectorate in 1889. They were transferred to New Zealand administration in 1925. Referenda held in 2006 and 2007 to change the status of the islands from that of a New Zealand territory to one of free association with New Zealand did not meet the needed threshold for approval.,none; each atoll has its own administrative center time difference: UTC-11 (6 hours behind Washington DC during Standard Time),tropical; moderated by trade winds (April to November),Tokelau's small size (three villages) isolation and lack of resources greatly restrain economic development and confine agriculture to the subsistence level. The people rely heavily on aid from New Zealand - about $4 million annually - to maintain public services with annual aid being substantially greater than GDP. The principal sources of revenue come from sales of copra postage stamps souvenir coins and handicrafts. Money is also remitted to families from relatives in New Zealand.,,PIF (observer) SPC UNESCO (associate) UPU,tk,noun: Tokelauan(s) adjective: Tokelauan,9 00 S 172 00 W
235,Tonga,$ 22 000 000,$ 139 000 000,19700604,0.9,,747,8400,39960,120898,squash coconuts copra bananas vanilla beans cocoa coffee ginger black pepper; fish,four times the size of Washington DC,"Tonga - unique among Pacific nations - never completely lost its indigenous governance. The archipelagos of ""The Friendly Islands"" were united into a Polynesian kingdom in 1845. Tonga became a constitutional monarchy in 1875 and a British protectorate in 1900; it withdrew from the protectorate and joined the Commonwealth of Nations in 1970. Tonga remains the only monarchy in the Pacific.",name: Nuku'alofa geographic coordinates: 21 08 S 175 12 W time difference: UTC+13 (18 hours ahead of Washington DC during Standard Time),tropical; modified by trade winds; warm season (December to May) cool season (May to December),Tonga has a small open South Pacific island economy. It has a narrow export base in agricultural goods. Squash vanilla beans and yams are the main crops. Agricultural exports including fish make up two-thirds of total exports. The country must import a high proportion of its food mainly from New Zealand. The country remains dependent on external aid and remittances from Tongan communities overseas to offset its trade deficit. Tourism is the second-largest source of hard currency earnings following remittances. Tonga had 41 000 visitors in 2004. The government is emphasizing the development of the private sector especially the encouragement of investment and is committing increased funds for health and education. Tonga has a reasonably sound basic infrastructure and well developed social services. High unemployment among the young a continuing upturn in inflation pressures for democratic reform and rising civil service expenditures are major issues facing the government.,constitutional monarchy,ACP ADB C FAO G-77 IBRD ICAO ICRM IDA IFAD IFC IFRCS IHO IMF IMO IMSO Interpol IOC ITU ITUC OPCW PIF Sparteca SPC UN UNCTAD UNESCO UNIDO UPU WCO WFTU WHO WIPO WMO WTO,to,noun: Tongan(s) adjective: Tongan,20 00 S 175 00 W
236,Trinidad and Tobago,$ 15 900 000 000,$ 9 843 000 000,19620831,0.3,-7.28,5128,430800,620800,1229953,cocoa rice citrus coffee vegetables; poultry,slightly smaller than Delaware,First colonized by the Spanish the islands came under British control in the early 19th century. The islands' sugar industry was hurt by the emancipation of the slaves in 1834. Manpower was replaced with the importation of contract laborers from India between 1845 and 1917 which boosted sugar production as well as the cocoa industry. The discovery of oil on Trinidad in 1910 added another important export. Independence was attained in 1962. The country is one of the most prosperous in the Caribbean thanks largely to petroleum and natural gas production and processing. Tourism mostly in Tobago is targeted for expansion and is growing. The government is coping with a rise in violent crime.,name: Port-of-Spain geographic coordinates: 10 39 N 61 31 W time difference: UTC-4 (1 hour ahead of Washington DC during Standard Time),tropical; rainy season (June to December),Trinidad and Tobago has earned a reputation as an excellent investment site for international businesses and has one of the highest growth rates and per capita incomes in Latin America. Economic growth for the past seven years has averaged slightly over 8% significantly above the regional average of about 3.7% for that same period; however it has slowed down this year to about 5% and is expected to slow further with the global downturn. Growth has been fueled by investments in liquefied natural gas (LNG) petrochemicals and steel. Additional petrochemical aluminum and plastics projects are in various stages of planning. Trinidad and Tobago is the leading Caribbean producer of oil and gas and its economy is heavily dependent upon these resources but it also supplies manufactured goods notably food and beverages as well as cement to the Caribbean region. Oil and gas account for about 40% of GDP and 80% of exports but only 5% of employment. The country is also a regional financial center and tourism is a growing sector although it is not proportionately as important as in many other Caribbean islands. The economy benefits from a growing trade surplus. The MANNING administration has benefited from fiscal surpluses fueled by the dynamic export sector; however declines in oil and gas prices have reduced government revenues which will challenge his government's commitment to maintaining high levels of public investment.,parliamentary democracy,ACP C Caricom CDB FAO G-24 G-77 IADB IBRD ICAO ICCt ICRM IDA IFAD IFC IFRCS IHO ILO IMF IMO Interpol IOC ISO ITSO ITU ITUC LAES MIGA NAM OAS OPANAL OPCW UN UNCTAD UNESCO UNIDO UPU WCL WCO WFTU WHO WIPO WMO WTO,tt,noun: Trinidadian(s) Tobagonian(s) adjective: Trinidadian Tobagonian,11 00 N 61 00 W
237,Tunisia,$ 19 220 000 000,$ 23 230 000 000,19560320,1.4,-0.41,163610,1722000,3660000,10486339,olives olive oil grain tomatoes citrus fruit sugar beets dates almonds; beef dairy products,slightly larger than Georgia,Rivalry between French and Italian interests in Tunisia culminated in a French invasion in 1881 and the creation of a protectorate. Agitation for independence in the decades following World War I was finally successful in getting the French to recognize Tunisia as an independent state in 1956. The country's first president Habib BOURGUIBA established a strict one-party state. He dominated the country for 31 years repressing Islamic fundamentalism and establishing rights for women unmatched by any other Arab nation. In November 1987 BOURGUIBA was removed from office and replaced by Zine el Abidine BEN ALI in a bloodless coup. BEN ALI is currently serving his fourth consecutive five-year term as president; the next elections are scheduled for October 2009. Tunisia has long taken a moderate non-aligned stance in its foreign relations. Domestically it has sought to defuse rising pressure for a more open political society.,name: Tunis geographic coordinates: 36 48 N 10 11 E time difference: UTC+1 (6 hours ahead of Washington DC during Standard Time) daylight saving time: +1hr begins last Sunday in March; ends last Sunday in October,temperate in north with mild rainy winters and hot dry summers; desert in south,Tunisia has a diverse economy with important agricultural mining tourism and manufacturing sectors. Governmental control of economic affairs while still heavy has gradually lessened over the past decade with increasing privatization simplification of the tax structure and a prudent approach to debt. Progressive social policies also have helped raise living conditions in Tunisia relative to the region. Real growth which averaged almost 5% over the past decade declined to 4.7% in 2008 and probably will decline further in 2009 because of economic contraction and slowing of import demand in Europe - Tunisia's largest export market. However development of non-textile manufacturing a recovery in agricultural production and strong growth in the services sector somewhat mitigated the economic effect of slowing exports. Tunisia will need to reach even higher growth levels to create sufficient employment opportunities for an already large number of unemployed as well as the growing population of university graduates. The challenges ahead include: privatizing industry liberalizing the investment code to increase foreign investment improving government efficiency reducing the trade deficit and reducing socioeconomic disparities in the impoverished south and west.,republic,ABEDA AfDB AFESD AMF AMU AU BSEC (observer) FAO G-77 IAEA IBRD ICAO ICC ICRM IDA IDB IFAD IFC IFRCS IHO ILO IMF IMO IMSO Interpol IOC IOM IPU ISO ITSO ITU ITUC LAS MIGA MONUC NAM OAPEC (suspended) OAS (observer) OIC OIF OPCW OSCE (partner) UN UNCTAD UNESCO UNHCR UNIDO UNOCI UNWTO UPU WCO WFTU WHO WIPO WMO WTO,tn,noun: Tunisian(s) adjective: Tunisian,34 00 N 9 00 E
238,Turkey,$ 140 800 000 000,$ 193 900 000 000,19231029,5.3,0.56,783562,13150000,24060000,76805524,tobacco cotton grain olives sugar beets hazelnuts pulse citrus; livestock,slightly larger than Texas,"Modern Turkey was founded in 1923 from the Anatolian remnants of the defeated Ottoman Empire by national hero Mustafa KEMAL who was later honored with the title Ataturk or ""Father of the Turks."" Under his authoritarian leadership the country adopted wide-ranging social legal and political reforms. After a period of one-party rule an experiment with multi-party politics led to the 1950 election victory of the opposition Democratic Party and the peaceful transfer of power. Since then Turkish political parties have multiplied but democracy has been fractured by periods of instability and intermittent military coups (1960 1971 1980) which in each case eventually resulted in a return of political power to civilians. In 1997 the military again helped engineer the ouster - popularly dubbed a ""post-modern coup"" - of the then Islamic-oriented government. Turkey intervened militarily on Cyprus in 1974 to prevent a Greek takeover of the island and has since acted as patron state to the ""Turkish Republic of Northern Cyprus "" which only Turkey recognizes. A separatist insurgency begun in 1984 by the Kurdistan Workers' Party (PKK) - now known as the People's Congress of Kurdistan or Kongra-Gel (KGK) - has dominated the Turkish military's attention and claimed more than 30 000 lives. After the capture of the group's leader in 1999 the insurgents largely withdrew from Turkey mainly to northern Iraq. In 2004 KGK announced an end to its ceasefire and attacks attributed to the KGK increased. Turkey joined the UN in 1945 and in 1952 it became a member of NATO; it holds a non-permanent seat on the UN Security Council from 2009-10. In 1964 Turkey became an associate member of the European Community. Over the past decade it has undertaken many reforms to strengthen its democracy and economy; it began accession membership talks with the European Union in 2005.",name: Ankara geographic coordinates: 39 56 N 32 52 E time difference: UTC+2 (7 hours ahead of Washington DC during Standard Time) daylight saving time: +1hr begins last Sunday in March; ends last Sunday in October,temperate; hot dry summers with mild wet winters; harsher in interior,Turkey's dynamic economy is a complex mix of modern industry and commerce along with a traditional agriculture sector that still accounts for about 30% of employment. It has a strong and rapidly growing private sector yet the state remains a major participant in basic industry banking transport and communication. The largest industrial sector is textiles and clothing which accounts for one-third of industrial employment; it faces stiff competition in international markets with the end of the global quota system. However other sectors notably the automotive and electronics industries are rising in importance within Turkey's export mix. Real GNP growth has exceeded 6% in many years but this strong expansion has been interrupted by sharp declines in output in 1994 1999 and 2001. The economy turned around with the implementation of economic reforms and 2004 GDP growth reached 9% followed by roughly 5% annual growth from 2005-07. Due to global contractions annual growth is estimated to have fallen to 1.5% in 2008. Inflation fell to 7.7% in 2005 - a 30-year low - but climbed to over 10% in 2008. Despite the strong economic gains from 2002-07 which were largely due to renewed investor interest in emerging markets IMF backing and tighter fiscal policy the economy is still burdened by a high current account deficit and high external debt. Further economic and judicial reforms and prospective EU membership are expected to boost foreign direct investment. The stock value of FDI currently stands at about $85 billion. Privatization sales are currently approaching $21 billion. Oil began to flow through the Baku-Tblisi-Ceyhan pipeline in May 2006 marking a major milestone that will bring up to 1 million barrels per day from the Caspian to market. In 2007 and 2008 Turkish financial markets weathered significant domestic political turmoil including turbulence sparked by controversy over the selection of former Foreign Minister Abdullah GUL as Turkey's 11th president and the possible closure of the Justice and Development Party (AKP). Economic fundamentals are sound marked by moderate economic growth and foreign direct investment. Nevertheless the Turkish economy may be faced with more negative economic indicators in 2009 as a result of the global economic slowdown. In addition Turkey's high current account deficit leaves the economy vulnerable to destabilizing shifts in investor confidence.,republican parliamentary democracy,ADB (nonregional member) Australia Group BIS BSEC CE CERN (observer) EAPC EBRD ECO EU (applicant) FAO G-20 IAEA IBRD ICAO ICC ICRM IDA IDB IEA IFAD IFC IFRCS IHO ILO IMF IMO IMSO Interpol IOC IOM IPU ISO ITSO ITU ITUC MIGA NATO NEA NSG OAS (observer) OECD OIC OPCW OSCE PCA SECI UN UNCTAD UNESCO UNHCR UNIDO UNIFIL UNMIS UNOCI UNOMIG UNRWA UNWTO UPU WCO WEU (associate) WFTU WHO WIPO WMO WTO ZC,tr,noun: Turk(s) adjective: Turkish,39 00 N 35 00 E
239,Turkmenistan,$ 11 920 000 000,$ 5 666 000 000,19911027,3.4,-1.97,488100,70000,13510000,4884887,cotton grain; livestock,slightly larger than California,Eastern Turkmenistan for centuries formed part of the Persian province of Khurasan; in medieval times Merv (today known as Mary) was one of the great cities of the Islamic world and an important stop on the Silk Road. Annexed by Russia between 1865 and 1885 Turkmenistan became a Soviet republic in 1924. It achieved independence upon the dissolution of the USSR in 1991. Extensive hydrocarbon/natural gas reserves could prove a boon to this underdeveloped country if extraction and delivery projects were to be expanded. The Turkmenistan Government is actively seeking to develop alternative petroleum transportation routes to break Russia's pipeline monopoly. President for Life Saparmurat NYYAZOW died in December 2006 and Turkmenistan held its first multi-candidate presidential electoral process in February 2007. Gurbanguly BERDIMUHAMEDOW a vice premier under NYYAZOW emerged as the country's new president.,name: Ashgabat (Ashkhabad) geographic coordinates: 37 57 N 58 23 E time difference: UTC+5 (10 hours ahead of Washington DC during Standard Time),subtropical desert,Turkmenistan is largely a desert country with intensive agriculture in irrigated oases and sizeable gas and oil resources. One-half of its irrigated land is planted in cotton; formerly it was the world's 10th-largest producer. Poor harvests in recent years have led to an almost 50% decline in cotton exports. With an authoritarian ex-Communist regime in power and a tribally based social structure Turkmenistan has taken a cautious approach to economic reform hoping to use gas and cotton sales to sustain its inefficient economy. Privatization goals remain limited. From 1998-2005 Turkmenistan suffered from the continued lack of adequate export routes for natural gas and from obligations on extensive short-term external debt. At the same time however total exports rose by an average of roughly 15% per year from 2003-08 largely because of higher international oil and gas prices. A new pipeline to China set to come online in late 2009 or early 2010 will give Turkmenistan an additional export route for its gas. Overall prospects in the near future are discouraging because of widespread internal poverty a poor educational system government misuse of oil and gas revenues and Ashgabat's reluctance to adopt market-oriented reforms. In the past Turkmenistan's economic statistics were state secrets. The new government has established a State Agency for Statistics but GDP numbers and other figures are subject to wide margins of error. In particular the rate of GDP growth is uncertain. Since his election President BERDIMUHAMEDOW has sought to improve the health and education systems unified the country's dual currency exchange rate ordered the redenomination of the manat reduced state subsidies for gasoline increased Internet access both in schools and Internet cafes ordered an independent audit of Turkmenistan's gas resources and created a special tourism zone on the Caspian Sea. Although foreign investment is encouraged numerous bureaucratic obstacles from the NYYZOW-era remain.,republic; authoritarian presidential rule with little power outside the executive branch,ADB CIS EAPC EBRD ECO FAO G-77 IBRD ICAO ICRM IDA IDB IFC IFRCS ILO IMF IMO Interpol IOC IOM (observer) ISO (correspondent) ITU MIGA NAM OIC OPCW OSCE PFP SCO (guest) UN UNCTAD UNESCO UNIDO UNWTO UPU WCO WFTU WHO WIPO WMO,tm,noun: Turkmen(s) adjective: Turkmen,40 00 N 60 00 E
240,Turks and Caicos Islands,$ 169 200 000,,,,9.02,948,,4848,22942,corn beans cassava (tapioca) citrus fruits; fish,2.5 times the size of Washington DC,The islands were part of the UK's Jamaican colony until 1962 when they assumed the status of a separate crown colony upon Jamaica's independence. The governor of The Bahamas oversaw affairs from 1965 to 1973. With Bahamian independence the islands received a separate governor in 1973. Although independence was agreed upon for 1982 the policy was reversed and the islands remain a British overseas territory.,name: Grand Turk (Cockburn Town) geographic coordinates: 21 28 N 71 08 W time difference: UTC-5 (same time as Washington DC during Standard Time) daylight saving time: +1hr begins first Sunday in April; ends last Sunday in October,tropical; marine; moderated by trade winds; sunny and relatively dry,The Turks and Caicos economy is based on tourism offshore financial services and fishing. Most capital goods and food for domestic consumption are imported. The US is the leading source of tourists accounting for more than three-quarters of the 175 000 visitors that arrived in 2004. Major sources of government revenue also include fees from offshore financial activities and customs receipts.,,Caricom (associate) CDB Interpol (subbureau) UPU,tc,noun: none adjective: none,21 45 N 71 35 W
241,Tuvalu,$ 1 000 000,$ 12 910 000,19781001,,,26,1300,3615,12373,coconuts; fish,0.1 times the size of Washington DC,"In 1974 ethnic differences within the British colony of the Gilbert and Ellice Islands caused the Polynesians of the Ellice Islands to vote for separation from the Micronesians of the Gilbert Islands. The following year the Ellice Islands became the separate British colony of Tuvalu. Independence was granted in 1978. In 2000 Tuvalu negotiated a contract leasing its Internet domain name "".tv"" for $50 million in royalties over a 12-year period.",name: Funafuti geographic coordinates: 8 30 S 179 12 E time difference: UTC+12 (17 hours ahead of Washington DC during Standard Time) note: administrative offices are in Vaiaku Village on Fongafale Islet,tropical; moderated by easterly trade winds (March to November); westerly gales and heavy rain (November to March),"Tuvalu consists of a densely populated scattered group of nine coral atolls with poor soil. The country has no known mineral resources and few exports and is almost entirely dependent upon imported food and fuel. Subsistence farming and fishing are the primary economic activities. Fewer than 1 000 tourists on average visit Tuvalu annually. Job opportunities are scarce and public sector workers make up most of those employed. About 15% of the adult male population work as seamen on merchant ships abroad and remittances are a vital source of income contributing around $4 million in 2006. Substantial income is received annually from the Tuvalu Trust Fund (TTF) an international trust fund established in 1987 by Australia NZ and the UK and supported also by Japan and South Korea. Thanks to wise investments and conservative withdrawals this fund grew from an initial $17 million to an estimated value of $77 million in 2006. The TFF contributed nearly $9 million towards the government budget in 2006 and is an important cushion for meeting shortfalls in the government's budget. The US Government is also a major revenue source for Tuvalu because of payments from a 1988 treaty on fisheries. In an effort to ensure financial stability and sustainability the government is pursuing public sector reforms including privatization of some government functions and personnel cuts. Tuvalu also derives royalties from the lease of its "".tv"" Internet domain name with revenue of more than $2 million in 2006. A minor source of government revenue comes from the sale of stamps and coins. With merchandise exports only a fraction of merchandise imports continued reliance must be placed on fishing and telecommunications license fees remittances from overseas workers official transfers and income from overseas investments. Growing income disparities and the vulnerability of the country to climatic change are among leading concerns for the nation.",a parliamentary democracy and a Commonwealth realm,ACP ADB C FAO IFRCS (observer) IMO IOC ITU OPCW PIF Sparteca SPC UN UNCTAD UNESCO UPU WHO,tv,noun: Tuvaluan(s) adjective: Tuvaluan,8 00 S 178 00 E
